Q1A	Q1I	Q1E	Q2A	Q2I	Q2E	Q3A	Q3I	Q3E	Q4A	Q4I	Q4E	Q5A	Q5I	Q5E	Q6A	Q6I	Q6E	country	introelapse	testelapse	surveyelapse	TIPI1	TIPI2	TIPI3	TIPI4	TIPI5	TIPI6	TIPI7	TIPI8	TIPI9	TIPI10	VCL1	VCL2	VCL3	VCL4	VCL5	VCL6	VCL7	VCL8	VCL9	VCL10	VCL11	VCL12	VCL13	VCL14	VCL15	VCL16	education	urban	gender	engnat	age	screenw	screenh	hand	religion	orientation	race	voted	married	familysize	major
4	6	5968	3	4	4688	5	5	7535	5	3	3046	5	1	3187	5	2	3824	ZA	32	47	189	7	3	7	1	7	7	6	1	3	4	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	3	2	1	2	28	1440	900	1	10	1	16	1	1	2	Electrical Engineering
4	3	3335	3	2	5011	4	1	5883	5	5	3993	4	4	6227	3	6	4721	US	22	30	124	2	5	7	2	5	6	5	1	5	2	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	3	2	1	1	26	1920	1080	1	6	1	16	1	1	2	Economics
5	5	2721	3	4	5286	5	2	5155	5	6	2432	3	3	10500	5	1	6232	PL	3	33	78	1	6	2	5	6	7	6	5	6	5	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	2	3	1	2	32	3840	1200	1	12	1	16	1	1	2	programming
4	6	8264	5	5	4540	5	1	4775	5	2	3348	5	3	3172	5	4	1792	DE	121	27	153	4	6	4	5	4	5	7	3	5	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	3	2	2	2	24	1366	768	1	1	2	16	1	1	1	film
2	2	6861	4	3	6231	4	4	7559	4	5	3599	5	1	8009	4	6	4119	GB	13	37	139	2	2	6	2	6	6	4	5	6	2	1	1	1	1	1	0	0	1	0	1	1	0	1	1	1	1	4	2	1	2	56	1680	1050	2	2	1	16	2	2	1	History
1	3	2651	3	6	4787	2	5	2425	2	4	2534	2	2	2472	2	1	3512	SE	16	20	93	4	5	3	6	6	4	4	4	2	2	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	3	2	1	18	1366	768	1	2	2	16	2	1	2	
5	6	4721	5	3	3769	4	2	4592	5	4	1918	5	5	1479	5	1	4022	US	2075	21	72	6	2	6	2	7	5	7	3	6	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	4	1	1	1	25	1366	768	2	12	5	16	1	1	2	Psychology/Philosophy
4	4	4017	5	2	5557	5	6	4584	5	3	2398	5	5	3146	5	1	3634	US	2	24	124	6	1	6	1	6	4	5	3	6	2	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	2	2	1	1	26	1280	800	2	1	1	16	2	1	2	
5	5	2800	5	1	10398	5	3	4967	5	6	2032	5	2	2743	5	4	2328	US	27	25	120	1	6	7	6	7	7	6	5	6	1	1	1	1	1	1	0	0	0	0	1	0	0	0	1	1	1	3	3	2	1	55	1600	900	1	4	1	16	1	1	2	ART
2	4	6501	4	6	3001	5	3	3266	4	1	6186	4	5	5119	4	2	20805	US	2	46	149	1	1	7	5	7	7	6	2	4	3	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	2	1	1	15	1366	768	1	2	5	16	2	1	1	
1	5	10269	5	4	2941	1	6	2245	2	1	4140	2	2	4438	4	3	3217	US	6	27	116	3	1	6	5	7	5	6	5	5	1	1	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	3	2	1	13	1536	864	2	5	1	17	2	1	3	
4	2	10229	4	6	2600	4	5	4352	5	4	7760	4	3	4227	3	1	5200	MA	4	35	147	1	6	6	7	5	7	5	2	1	1	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	2	3	3	2	16	320	534	1	10	3	12	2	1	2	
5	4	4105	4	6	4640	4	2	4532	5	3	8277	5	1	5348	4	5	5632	DE	7	43	172	2	6	6	5	6	5	6	2	6	2	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	3	2	2	2	26	1280	800	1	1	1	16	1	1	3	Psychology
4	3	4634	5	4	2775	4	6	5833	5	2	2923	4	5	4590	5	1	3717	US	243	25	68	6	2	6	2	7	2	7	2	6	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	3	2	2	1	26	1280	1024	1	1	1	16	1	1	2	art
2	4	13579	4	2	4937	2	5	12253	4	1	8977	4	3	8382	4	6	6364	TR	2	71	189	6	5	6	6	6	2	6	2	5	3	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	4	1	2	2	31	1366	768	1	10	1	16	1	2	3	maths teacher
2	6	4354	4	1	3905	4	3	4170	2	2	4698	3	4	6311	4	5	4230	US	450	37	138	2	6	5	7	6	7	5	3	2	2	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	3	2	2	1	24	1366	768	1	1	1	16	1	1	3	Electrical Engineering
5	1	6628	3	6	4115	4	4	3416	5	5	2716	3	2	6332	4	3	7932	US	4	32	155	5	5	5	6	5	5	6	5	2	1	1	1	1	1	1	0	0	1	0	1	0	0	0	1	1	1	2	3	2	1	18	1440	900	2	12	5	16	2	1	2	
1	6	9311	4	4	5821	5	3	7154	4	5	5109	5	1	4350	4	2	8178	GB	20	41	147	7	5	6	4	6	1	6	1	6	4	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	4	2	2	1	44	320	568	1	12	1	13	1	1	5	Psychology 
